"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"w/o MS2:LPE 42:4; [M+H]+"," 78744","    66","   978","  1140","  2729","  1228","   934","   732","  1954","251891","  2268","  1237","   372","143863","203126","157084","   446","292731"," 99127","404686"," 44736","314721"," 61728","325976","  2866","   180","   643","  6297","  5675","  6356","  2633","  2546","263781","125493","440585","221692","523636","290779","451942","  1396","147049","381236","310857","372840","  4275","310137","198813","257444"," 63274","282887","   235","   172","    61","  2950","  1745","  3172","   747","  1265"," 84329","178645","368259","  1916","220254","251301","542554","331899","144654","156839"," 39491","  3381","352049","  5135","154553","  7159"," 10276","  2749"," 11660","  7555","159080","  4158","424521","561890","  9092","  4007"," 41510","535096","406451","334182","130032","357968"," 14688","298630","381697"," 72953"
"w/o MS2:LPE 42:9; [M+H]+","45080","33008","35544","31383","52067","32296","23306","43433","28461","42420","32371","32282","28010","27409","21934","25291","34422","22864","28483","35382","45935","54301","37031","32013","35480","49589","36410","33737","30029","55830","54175","38648","44694","40657","40408","27817","45562","45215","42583","31498","29723","37513","41699","32804","27137","25640","39810","35594","48327","99981","48470","47547","45940","67801","66415","38492","59462","67810","44674","48544","60301","41660","36953","35454","45172","33627","32093","41894","15886","34010","44251","50788","47118","46454","20502","45692","28067","44099","23168","44032","11143","33398","27221","38103","10862","23204","33725","33218","44419"," 8757","28307","38538","21007","30764"
"w/o MS2:LPE 44:0; [M+H]+"," 10309"," 12956","  4771","  6725"," 12833","  5311","  5799","  9947"," 12370","  9732"," 14362"," 13425","  2255","  6900"," 13546","  5383","  9824","  3584"," 15198","  5693"," 11907"," 36685","  5798"," 14838","  4900"," 17424","  8347","  4387","  5629","  2426","  6357","  3367","  3560","  7879","  5356","  3633","  5298","  3400"," 10269"," 10138","  8587","  2646","  6127"," 12759","  2229","  2817","  4395","  6845","  3618","  7419"," 15092","  8829","  9703"," 16699"," 22142","  9221"," 32846","  7372","  4326","  8304","  8101"," 11290","  4329","   358","  6407"," 12482","  3624"," 10211","  5301"," 19451","  9198","  9640"," 48552"," 46331"," 82966","103273"," 64557"," 41358"," 80107"," 70878"," 71291"," 76509","133507"," 57113"," 66887"," 49938"," 41343"," 23452","182955","539683","108686"," 78379","104299","   617"
"w/o MS2:LPE 44:11; [M+H]+","166718","  3816","  6120","  5773","   306"," 17417","  5545","  8442"," 12270","134784","  8810","  9261","  4059","111231","184522","192230","  4564","135576","168203","280513","  4493","157175","  3406","168799","  3404","  4630","  8544","  6451","  9221","  8146","  6732","  2999","302482","174439","210873","220120","418500","193136","211826","  8898"," 24254","236859","261039"," 41599","  2294","215366","240267","210496","  4865","399776","  8784","  1931","  8164"," 13321","  5686"," 13312","  4716","  2526"," 33324"," 85738","147265","  8857","115146","257598","  4619","261188","113060","197775"," 89962","  4748","171603","  7954","295175"," 13748"," 18505"," 15440"," 11369"," 18581","  6640"," 19785","183468","  7390"," 18960"," 17440"," 99511","138049","124896","121915","  9764","255238"," 13526"," 11312","  5233","   618"
"w/o MS2:MAG 19:0; [M+NH4]+","21307","29492","49899","14853","28792","22137","14694","30203","33263","43687","17919","55861","17210","28883","23745","33836","51267"," 9913","29391","23142","33825","23787","19247","26978","24250","28803","37789","35835","29446","48919","17162"," 9695","15912","33395","24276","13834","47047","29067","21002","33713","37825","25082","30099","37898","41281","20245","43439","15657","33306","37041","32761","16735","  648","48610","22458","34422","53747","11545","40400","25446","23193","31372","46248","20802","42398","27358","27164","18806","21909","15541","34644","17077","10159"," 5038","15696"," 7023","13408"," 7691","18682","11818","10940"," 8816","15388","13844","11218","10523"," 9188","10496"," 7295"," 6392","10939"," 6807","15980","   39"
"w/o MS2:MAG 20:5; [M+NH4]+"," 2810"," 1813"," 3085"," 1445"," 1417","  945"," 1095"," 1507"," 1217"," 1615"," 1691","  766"," 1499"," 1107"," 1363"," 1539"," 1925"," 1088","  657"," 1271"," 1381"," 1155"," 1418"," 1309"," 2226"," 1383","  604"," 1223"," 2805"," 2899","  835"," 1583"," 2212","  925"," 1837","  965"," 1415"," 2422"," 1915"," 2141","  547","  943"," 1023"," 1911"," 1699"," 1098","  617"," 1906"," 1813"," 2232"," 3209"," 2044","  489"," 1770"," 1432"," 2362"," 3006"," 1269"," 1963"," 1503"," 3171"," 1300"," 2036"," 1269"," 2959"," 1293"," 1245","  847"," 2552"," 1063"," 1476"," 1502","  701","16406"," 2826"," 1219"," 1026"," 1173"," 8307"," 2157"," 2981"," 2750"," 1200"," 4648"," 5357"," 2192","58611"," 1589"," 1222"," 1997"," 2448"," 1895"," 1716","18952"
"w/o MS2:MAG 24:0; [M+NH4]+","   85","    1","  606","   51","    1","  473","    1","  688","    1","    1","  175","  995","    1","   46","    1","   61","    1","  484","  172","    1","  237","    1","    1","  799","  462","  147","    1","    1","    1","  897","    1","   62","    1","    1","    1","  209","  997","  106","    1","  460","  220","  402","  297","    1","  800","  132","    1","  239","    1","  404","  941","  225","    1","    1","  706","    1","  374","    1","  126","    1","    1","    1","    1","  148","  605","  101","  105","    1","   18","  562","    1","    1","    1","  684"," 4951","    1","    1"," 2056","  699","46902"," 1126","    1"," 1126","  744","22832","    1","  355"," 2005","    1","    1"," 6401"," 3012","    1","24690"
"w/o MS2:MAG 26:1; [M+NH4]+"," 66270"," 83545"," 57714"," 27426"," 48933"," 32277"," 56948"," 47464"," 92057","119520"," 37196","152230"," 54848"," 91386"," 80403"," 60284"," 58436"," 43794"," 62688"," 83385","106440"," 35474"," 49399"," 52034","105787"," 81533","107540","100075"," 40183","165552"," 61196"," 27281"," 72910","122182"," 38166"," 43140","148876","119442"," 76955","105606","147700"," 37989"," 72866","150460"," 99212"," 66567","130013"," 45529","113438"," 71419","112279"," 63329"," 33208"," 57503"," 60572"," 53443","168098"," 14625","137345"," 91979"," 57207"," 84140","130938"," 60965"," 69009"," 68990"," 70086"," 47088"," 97002"," 54068"," 88374"," 37806"," 18838","  8002"," 28513"," 10941","  8262","  2598"," 21148"," 31632"," 15410","  9760"," 19002"," 20990"," 17139"," 12023","  9737"," 17643","  6730"," 29601","  1288","  7587"," 20578","  9742"
"w/o MS2:MGDG 14:0; MGDG 2:0-12:0; [M+NH4]+","  77218","1007465","1123435"," 883914"," 317483","  71483"," 932324","1655572"," 981115","  68538","1196770"," 137619"," 701494"," 195375","1392442"," 127980"," 933590"," 960709"," 176602","1329602"," 224699","1646854","  86759","1895244","1644999"," 178478"," 210626","  67271","1053194","2104226"," 835811","  81205","1164614"," 853784","1156665","  54474","1809853","1242212"," 618527"," 197851","1083769","1161992"," 737250","1217157"," 138533","  38363"," 262085","1259758","1605075","1214828","1467426"," 713953"," 971944","1939318","1094399","1371809"," 178195","1263284"," 842216","1199444"," 204304"," 265369"," 121124","1223601","1172042","1026280","1000020"," 197366"," 254159"," 716302"," 871936","1130636"," 300970"," 247757"," 555679"," 114480"," 517974"," 507320","  54870"," 308154"," 615542"," 367552"," 371230"," 184710"," 231482"," 346671"," 553346"," 736889"," 442469"," 262310"," 328341"," 367092"," 762132"," 473900"
"w/o MS2:MGDG 23:1; MGDG 3:0-20:1; [M+NH4]+"," 97542","127615","141948"," 70230","194685"," 89159"," 99727","104543","130563","138712"," 94911","169275"," 81142","109292","124866"," 73375","131004"," 74247","126742","107385","145088"," 89443"," 79390","120918","110996","126784","169303","140407","173586","192891","100341"," 94229"," 95864","114265","101403"," 97955","200866","172842","134772","161520","181336"," 81543"," 99832","171183"," 93386"," 95603","138844","101383","166324","148638","146800","101511","119603","242780","124426","106011","164345","104514","143839","135342","121876","124212","126706"," 75669","134779","108974"," 80291","139870","151074"," 67579","148550"," 95423"," 33154"," 19390"," 53609"," 22383"," 39726"," 27228"," 41397"," 53202"," 44455"," 26005"," 58582"," 40786"," 46532"," 37310"," 39020"," 34677"," 27755"," 35235"," 35562"," 22888"," 54026"," 10420"
"w/o MS2:MGDG 27:1; MGDG 3:0-24:1; [M+NH4]+","  111","  236","  238","  239","  293","  169","  216","   96","  331","  244","  276","  312","  246","   48","  712","   87","  464","  162","  319","  338","  228","  224","  144","  197","  553","  248","   49","  307","  273","  486","  187","  193","  214","  266","  290","   95","  359","  455","  202","  254","   49","  223","  138","  285","  163","  240","  266","  181","  428","  415","  175","  691","  103"," 1058","  172","  399","  439","  115","  342","  697","  423","  204","  189","  233","  425","  101","  204","  200","  248","  258","   71","  757","46940","11714","14703","54405"," 2475","40055","  291","31924"," 7610"," 7429","51657","  300","42923","53539","33009","36110","14688","25139","25793","26885","10367"," 5202"
"w/o MS2:MGDG 30:0; MGDG 3:0-27:0; [M+NH4]+","   9545","    762","   9099","   1495","   5220","   7805","   5565","   7593","   9652","   4453","   6074","  10564","   5453","   6392","   4029","   6321","   5842","   6025","   4484","  11640","   8279","   6882","   3024","   9085","  12593","  10083","   7761","  13676","   9246","  17302","  13953","  16659","   7765","  12954","   6674","   7035","  11979","   8756","   6884","  11670","  11266","   1832","  15962","   8129","   4235","   6510","   9968","  12984","  11997","   8020","   6397","   8927","   4591","  21653","   7511","   7663","  10769","  11455","   7701","  12287","   9869","  12512","   7577","   6818","   7684","   5043","   7521","   2996","   1588","   5264","   5944","  16251"," 450409"," 932156","1040873"," 390641"," 809542"," 386490"," 169864"," 400063"," 589516"," 667112"," 417221"," 461360"," 451254"," 409596"," 535999"," 286166"," 623563"," 227458","1057263"," 530736"," 618773","   3956"
"w/o MS2:MGDG 31:2; MGDG 5:0-26:2; [M+NH4]+","  712","  321","  503","  444","  464","  733","  247","  409","  443","  646","  348","  454","  205","  100"," 1168","  454"," 1133","  380","  275","  415","  375","  324","  195","   90","  792"," 1135"," 1139","  778","  638","  874","  210","  426","  563","  618","  468","  267"," 1741","  185","  616","  379"," 1065","  188","  616"," 1351","  589","  225","  681","  122","  429","  855"," 1148","  952","  609","  124","  791","  503","  185","  869","  249","  855","  909","  471","  377","  377","  414","  320","  593","  651","  578","  215","  333"," 1582","72739","44936","39055","88974","17931","59552","38192","94554","26372","28862","94309","28000","70140","91353","52133","56452","40665","69565","52044","53748","30590","14988"
"w/o MS2:MGDG 31:3; MGDG 9:0-22:3; [M+NH4]+","  746","  562","  157","  146","  242","  422","  179","  507","  752","  183","  195","  486","  251","  269","  303","  661","  185","  195","  287","  123","   51","  732","  270","   93","   86","  119","  348","  407","  240","  691","   96","  180","   80","  547","  263","  134","  567","  587","   46","  136","  466","  267","  536","  494","   78","  520","  254","  332","   88","  441","   54","  962","  237","   62","  304","  121","  311"," 1073","   90","  360","  279","  538","  181","  289","  343","  264","  289","  128","  416","  410","  290"," 1414","29625","38107","18791","51981","13697","38508","31741","43989","20637","23968","49218","20366","43743","51938","26837","30769","34830","17686","22671","25216","23794","11846"
"w/o MS2:MGDG 35:0; MGDG 8:0-27:0; [M+NH4]+"," 62483"," 97927"," 68890"," 79313"," 56330"," 81076"," 44842"," 77864"," 80667"," 53851"," 79319"," 47543"," 32135"," 37242"," 64447","105167"," 77074"," 81578"," 70840","128315"," 65702"," 62520"," 56278"," 70627"," 46602","112125"," 75322"," 74420"," 72232"," 87824"," 37876"," 52971","126368"," 62936","124035"," 59486","182669"," 61228"," 62443"," 89376"," 59943","142796"," 62409"," 71380"," 60106"," 66324"," 71939"," 92292"," 65530"," 66279","103317"," 35030","100242"," 74367"," 89891"," 66257"," 67454"," 71432"," 78764"," 77732","122520"," 78991"," 59282"," 44832"," 42861","173168"," 57767"," 74350"," 11930"," 51473"," 70274"," 56412","266230","190145","422942","138605","284444","313862","255334","188526","261616","337986","164240","252423","323977","433090","298491","421578","237678","297876","429364","268333","229407","  7184"
"w/o MS2:MGDG 40:9; MGDG 22:4-18:5; [M+NH4]+","   271","  1271","  1859","   913","   832","   352","   492","   625","   685","   365","  2715","  1425","   619","   312","   803","   243","  2701","   243","   467","  1074","   545","  1068","  2186","   201","  3481","  5811","  2255","  1079","   796","  6096","  2071","  2641","  1972","   616","   406","   175","  1013","   562","   218","   883","  2334","   371","  2371","   335","   139","   171","   220","  2233","   203","   797","  2977","  1161","   817","  3126","  5068","   186","   623","  1049","   791","   149","   901","   279","   454","  1006","  1172","    65","   767","   294","   118","  1250","  1095","   426","  2957","123478","155204"," 85443","138616","114727","156633"," 90567","  1158","  1129","126853","104708","   599","   953","  1302","   472"," 98936","   661","152169","135457","  1607","  1126"
"w/o MS2:MGDG 41:3; MGDG 25:0-16:3; [M+NH4]+"," 30982"," 19126"," 11185"," 19908"," 18531"," 13349"," 19995"," 21382"," 23634"," 15618"," 12120"," 26398","  7541"," 14742"," 14436"," 18289"," 16525","  8548"," 31337"," 17065"," 17027"," 24329"," 11390"," 15776","  9791"," 21304"," 17967"," 13219"," 17553","  6898","  8101","  9995","  8749"," 20898"," 14760","  6530"," 10676"," 10637"," 15042"," 10228"," 18891"," 15838"," 12160"," 16702","  8113","  9453","  9932"," 13815","  8637"," 19570"," 33552"," 21944"," 21029"," 20529"," 36846"," 14900"," 37015"," 23111"," 17038"," 17657"," 24455"," 18558"," 14555"," 17110"," 17584"," 28262"," 12246"," 16856"," 14694"," 19017"," 21289"," 18055"," 80570"," 78531"," 46633"," 80774"," 57331"," 62933"," 59601"," 76803"," 47882"," 70791"," 52387"," 60980"," 65130"," 72638"," 59669"," 55893"," 77811","103309"," 71348"," 60439"," 52865"," 14637"
"w/o MS2:MGDG 41:4; MGDG 15:0-26:4; [M+NH4]+","15848"," 9207"," 2897"," 8807","10235"," 5709"," 8296"," 9074","12552"," 7521"," 6667","13364"," 2133"," 6802"," 6676"," 7183"," 8555"," 2533","18858"," 6504"," 8814","14998"," 4966","10094"," 4411","14076"," 9796"," 6493"," 5993","  732"," 3320"," 3634"," 6053"," 6626"," 6465"," 2602"," 3296"," 2855"," 8869"," 6996"," 6624"," 5527"," 8132"," 6104"," 3185"," 3550"," 4028"," 4587"," 2369"," 8815","22561","10245","14720","12467","28527"," 8501","24807"," 8968"," 5907","10028","19061"," 9363"," 7076"," 8892","13295","13911"," 5039","10704"," 6465","13552","11545"," 7867","53501","54655","35314","60903","43793","37168","55932","44743","46779","51595","42064","48491","45151","59911","41954","37812","68500","85788","53996","32082","48172","84511"
"w/o MS2:MGDG 43:3; MGDG 27:0-16:3; [M+NH4]+"," 54411"," 54829"," 42509"," 68219"," 49553"," 48545"," 50039"," 63085"," 63805"," 45642"," 51921"," 50590"," 21647"," 38349"," 52897"," 56030"," 54824"," 33574"," 76483"," 45747"," 50719"," 64102"," 46608"," 60714"," 37911"," 59695"," 54321"," 50915"," 47187"," 31071"," 32546"," 39886"," 35251"," 48230"," 58653"," 29304"," 49790"," 34179"," 64126"," 48389"," 61994"," 37612"," 48718"," 69827"," 24535"," 32583"," 35261"," 46385"," 30884"," 49363"," 58049"," 68975"," 41498"," 65223"," 56544"," 51981"," 79162"," 44398"," 46472"," 36749"," 41531"," 52607"," 39609"," 59680"," 52120"," 78346"," 36869"," 57340"," 49387"," 57061"," 40060"," 40570","104229","133069"," 92249"," 90487"," 90352"," 95099"," 92875"," 93801"," 83204","118985"," 90801"," 80900"," 75807","106870"," 89024"," 74248","127480"," 86646","114103"," 76607"," 72869","103663"
"w/o MS2:MGDG 43:4; MGDG 27:0-16:4; [M+NH4]+"," 70392"," 63828"," 39695"," 58864"," 59950"," 45273"," 59754"," 68720"," 74105"," 63639"," 50397"," 64649"," 23987"," 53434"," 54044"," 62980"," 50451"," 38679"," 90535"," 48987"," 65160"," 79692"," 48188"," 52628"," 42349"," 75290"," 60406"," 52055"," 39914"," 28078"," 42669"," 44772"," 43380"," 65205"," 56328"," 25485"," 50457"," 37500"," 51013"," 53728"," 44997"," 44085"," 55980"," 63351"," 31262"," 34772"," 38533"," 46694"," 39822"," 59134"," 61069"," 68129"," 70991"," 90475","115587"," 56526"," 94737"," 54586"," 52746"," 46280"," 65215"," 65518"," 49348"," 62415"," 71050"," 80587"," 45893"," 60705"," 42146"," 77446"," 69716"," 52524"," 82254"," 95673"," 77121","101585"," 92379"," 72462","112464","110153"," 75579","102316"," 88772"," 81631"," 75967"," 90390"," 66291"," 58737","128478","105765"," 96802"," 75443"," 86828"," 16012"
"w/o MS2:MGDG 45:3; MGDG 27:0-18:3; [M+NH4]+"," 20384"," 19367"," 20576"," 24096"," 17454"," 17680"," 18174"," 21104"," 20968"," 10926"," 25440"," 11489","  7854"," 16052"," 17678"," 19283"," 25155"," 15297"," 20291"," 19780"," 17309"," 24619"," 13623"," 18403"," 15707"," 24760"," 13869"," 12616"," 23633"," 10414"," 13411"," 10147"," 17159"," 13647"," 15064"," 12603"," 16155"," 13910"," 18119"," 14227"," 26191"," 14958"," 29438"," 17097"," 14861"," 13074"," 13789"," 11843","  5602"," 13145"," 15856"," 18133"," 17618"," 14291"," 27895"," 17110"," 25926"," 10268"," 12475"," 17499"," 18885"," 12606"," 12790"," 11317"," 16427"," 25215"," 13903"," 15215"," 12052"," 15761"," 18123"," 24146"," 70593"," 85029"," 60464"," 68658"," 71077"," 48077"," 65197"," 81306"," 72305","128966"," 59864"," 90740"," 63279"," 79312"," 51918"," 62156"," 78975"," 93658"," 48061"," 56940"," 66051"," 83635"
"w/o MS2:MGDG 45:4; MGDG 27:0-18:4; [M+NH4]+"," 23574"," 38818"," 28452"," 35095"," 25688"," 20935","  3574"," 38185"," 33937"," 16364"," 38690"," 26638","  9549"," 15731"," 22936"," 38951"," 36590"," 27002"," 33844"," 39125"," 24274"," 44807"," 28854"," 27262"," 22384","  2980"," 29712"," 30499"," 26035"," 19142"," 25256"," 21537"," 27460"," 25285"," 26421"," 15490"," 21226"," 13903"," 24691"," 21292"," 41363"," 15911"," 38959"," 43469"," 16495"," 18121"," 24037"," 22238"," 14482"," 21515"," 27412"," 22860"," 29836"," 31136"," 29964"," 29914"," 36754"," 21233"," 20232"," 29355"," 20385"," 26525"," 16700"," 23136"," 21571"," 42368"," 17505"," 29714"," 21622"," 31098"," 28680"," 25190"," 59791"," 96055"," 72562"," 88578","120344"," 63450"," 88950"," 98106"," 72260","117652"," 71758"," 73051"," 49623"," 90137"," 61114"," 65085","136186"," 73772"," 64267"," 58284"," 85278"," 96157"
"w/o MS2:MGDG 45:5; MGDG 27:0-18:5; [M+NH4]+"," 52009"," 44747"," 50608"," 43170"," 68653"," 29214"," 60891"," 70668"," 65425"," 50484"," 44878"," 44490"," 25044"," 53663"," 62819"," 79803"," 75563"," 46765"," 31594"," 67061"," 50272"," 42851"," 48615"," 31880"," 54342"," 80152"," 73397"," 79126"," 34831"," 40522"," 39932"," 51389"," 82496"," 55113"," 52739"," 37583"," 44193"," 56392"," 63804"," 29267"," 74439"," 54444"," 69855"," 33094"," 28882"," 42123"," 57982"," 50137"," 38176"," 43111"," 29722"," 40160"," 65495"," 74056"," 45474"," 61245"," 66220"," 17449"," 26168"," 45571"," 56425"," 48267"," 45159"," 22739"," 67813"," 89038"," 40163"," 62571"," 32970"," 55139"," 61089"," 42315"," 47661"," 86981"," 74537"," 76616"," 99779"," 42280"," 89450"," 80100"," 87875","107568"," 59115"," 74458"," 54952"," 71818"," 56434"," 61833","127494"," 93067"," 60927"," 58455"," 65096"," 64540"
"w/o MS2:MGDG 45:6; MGDG 23:0-22:6; [M+NH4]+"," 43437"," 63076"," 35498"," 47098"," 61569"," 44076"," 48829"," 62971"," 49663"," 52251"," 76221"," 40532"," 19690"," 48173"," 28310"," 99728"," 50362"," 65603"," 76729"," 59448"," 51909"," 79245"," 41725"," 68968"," 53878"," 70392"," 72387"," 73082"," 27544"," 30379"," 45967"," 36597"," 23300"," 67881"," 54949"," 30211"," 39977"," 39503"," 60021"," 38453"," 48238"," 47794"," 56400"," 71965"," 32580"," 28373"," 68868"," 62916"," 53097"," 52638"," 53062"," 56012"," 63124"," 64846","107927"," 52946"," 84535"," 35085"," 19893"," 40000"," 68719"," 45054"," 31546"," 51569"," 60735"," 37109"," 34450"," 54992"," 23771"," 70661"," 61672"," 28560"," 26168"," 53301"," 31842"," 40251"," 64231"," 24736"," 69591"," 49475"," 67714"," 70807"," 43883"," 57650"," 25941"," 43428"," 22272"," 26068"," 93825"," 46347"," 38773"," 34056"," 70249","  4505"
"w/o MS2:PC 37:5e; [M+H]+","  1532","  1814","  1090","   939","  7323","  1783","  4527","  1445","  1216","  2582","  1239","  1977","  1583","  1521","  2829","  1036","  1443","   562","  1133","  1038","  1918","  1112","  1003","  1138","  4140","  1332","  1606","  1738","  1706","  3093","  1781","  1769","   923","  1454","  1296","  1761","  2238","  1646","  1030","  1777","  1617","  2053","  1740","151889","  1353","  1857","  2260","  1054","  2676","  2180","  1202","  1057","  3218"," 12857","  1832","  1850","  2367","  1529","  1956","  1483","  1326","  2758","   458","  1758","  1171","  1802","  1794","  1144","   839","  1047","  2585","  2098","   534","   968","  1999","   859","  1169","  1362","  1273","  1275","  1251","  1983","   425","  1065","  1764","  1394","  1684","  1198","  1484","   686","   753","  2046","   847","  3854"
"w/o MS2:PC 40:4; PC 18:1-22:3; [M+H]+","  566","  785","  831","  280"," 2242","  296","  218","   86","  297"," 1483","  214","  472","  322","  610"," 3325","  440","  610","  340","  518","  528","  711","  238","  917","  450","  159","  336"," 1369","  322"," 1140","  793","  251","  676","  552"," 1263","  915","  687","  848"," 1376","  473","  505","  609","  120","  678","66311","  198","  976","  271","  724"," 1801","  432","  592","  584","  750","  283","  562","  256"," 1042","  625"," 1478","  972","  229","  379","  992","  319","  558","  886","  337"," 1073","  398","  679"," 1791","  746","  216","  593","  382","  220","  388","  459","  324","  918","  193"," 1074","  644","  510","  214","  588","  829","  349","  842","  766","   71","  755","  584","18612"
"w/o MS2:PC 42:10; [M+Na]+"," 3611"," 9627","38469","20669","21984","19115","33123","13418","14408"," 3014","15458","18912","11280"," 1485"," 6214","  408","33450"," 5815"," 1229"," 6207"," 4298"," 7149"," 3661"," 3775","25067","24080","33800","25972","28139"," 2671","28408","20472","12746"," 4054"," 6323"," 6896","16890"," 4805"," 1572","21095","12856"," 3655","14200"," 3330","16757"," 1774"," 6173","15785","20134"," 5219"," 3571","18305","32418","27893","36883","20658","27627","43267"," 4168","14022"," 4296"," 9037","  458"," 1330","13141"," 6499"," 1366"," 1011"," 2327","19209"," 9472","15275"," 6214"," 8730"," 3100"," 9595"," 7691","11238"," 3775"," 5908"," 2042"," 4404"," 9253"," 5670","  735"," 7740"," 6631"," 6338"," 7697"," 3581"," 6280"," 3179"," 4603","18743"
"w/o MS2:PC 44:12; [M+Na]+","   1688","   4950","  19975","  18481","  16703","  17340","  38198","   9827","  16528","   3757","  23535","  21672","  18964","    767","    572","    471","   9511","    616","   2449","   3389","    282","    677","    489","    754","  16500","  18359","  13060","  32718","  23869","  13260","  14931","  26085","  12979","   1420","    952","     65","   2058","   1083","     61","  13651","  16045","   1397","    500","    218","  24753","   1236","   1211","  28405","  17286","  31058","  23801","  30974","  40694","  16054","  10668","  25022","  24133","  17076","   2425","    390","   2130","  11237","   1136","    945","   7954","    938","    485","    677","     84","   9504","     96","  30710","   1673","   7339","      1","   7222","   2247","   2258","   2099","   3543","    761","   4274","   4362","   5962","   1402","    987","    930","    788","   2487","   5648","   1945","   1927","   1129","1317783"
"w/o MS2:PC 46:6e; [M+H]+","   131","   375","   423","   459","  3221","   455","   824","   203","    75","   220","   170","   278","   410","    98","  1213","   179","   426","   303","    95","   466","   662","   458","   334","   235","  1097","   404","   103","   543","   405","   386","  1340","   305","   641","   419","   302","   315","   702","   881","   365","   108","   319","   238","   267"," 93113","   155","   663","   258","   159","   268","   266","   297","   357","   161","  2624","   272","   577","   246","   498","   342","   259","    47","   465","   222","   569","   560","   488","   150","   432","   186","   496","   680","   141","   138","   174","   524","   230","   978","   363","   170","   249","   298","   228","   111","   168","   107","   111","   392","   314","   675","    69","   542","   357","   269","179068"
"w/o MS2:PC 52:10; PC 26:5-26:5; [M+H]+","  339","  470","  290","  201","   98","  304","   40","   99","   46","   63","   45","   84","  117","  261"," 2701","  211","   56","  206","   49","   62","  229","  136","  291","  187","  229"," 1104","  414","  431","  147","  451","  125","  160","  182","  708","  163","  172","  205","  625","  663","  204","  132","  212","  327","  137","   94","  380","  190","  147","  245","  184","  182","  722","  162","  372","  272","  321","  549","  106","  213","   98","  587","  293","  206","  100","  129","  414","  124","  116","  123","   37","  133","  175","20481","21331","11643"," 1474","12926"," 4702","19013"," 5477","31875","32645","19599","45387","12729","16759","16902"," 8900","32076","11420","10905"," 6681","18721"," 8538"
